"product_description_hs","product_description_sitc","world_green","world_blue","world_grey","world_total","country_green","country_blue","country_grey","country_total"
"Sheep or lamb skins, raw, with wool on, nes","Sheep skin,excpt.furskin",3106.66688081375,157.600605758377,24.1762648243657,3288.44375139649,2496.98878780411,188.818573609954,139.072134939886,2824.87949635395
"Sheep or lamb skins, pickled, without wool on","Sheep skin without wool",3270.17566401447,171.158532377239,25.4486998151218,3466.78289620683,2628.40925032012,204.019551168373,146.391720989354,2978.82052247785
"Sheep or lamb skins, raw, o/t pickled, without wool on","Sheep skin without wool",3270.17566401447,171.158532377239,25.4486998151218,3466.78289620683,2628.40925032012,204.019551168373,146.391720989354,2978.82052247785
"Bovine skin leather, whole","Whole bovine skin leathr",15915.9853873035,679.372930920274,497.873630546597,17093.2319487704,7986.22816327984,479.050932145807,492.705472175781,8957.98456760143
"Bovine leather, vegetable pre-tanned, nes","Oth.bov.,eqn.lthr,tanned",15915.9853873035,669.372930920274,497.873630546597,17083.2319487704,7986.22816327984,469.050932145807,492.705472175781,8947.98456760143
"Bovine leather, otherwise pre-tanned, nes","Oth.bov.,eqn.lthr,tanned",15915.9853873035,649.372930920274,497.873630546597,17063.2319487704,7986.22816327984,449.050932145807,492.705472175781,8927.98456760143
"Bovine and equine leather, tanned or retanned, nes","Oth.bov.,eqn.lthr,tanned",15915.9853873035,649.372930920274,497.873630546597,17063.2319487704,7986.22816327984,449.050932145807,492.705472175781,8927.98456760143
"Bovine and equine leather, full/split grains, nes","Oth.bov.,eqn.lthr,preprd",15915.9853873035,689.372930920274,497.873630546597,17103.2319487704,7986.22816327984,489.050932145807,492.705472175781,8967.98456760143
"Bovine and equine leather, nes","Oth.bov.,eqn.lthr,preprd",32829.3947365993,1321.62074225859,1026.94803673272,35177.9635155906,16472.9377697223,908.422953233366,1016.28784152092,18397.6485644766
"Sheep or lamb skin leather, vegetable pre-tanned","Sheepskin leather,tanned",3633.52851557164,212.398369308043,28.2763331279131,3874.2032180076,2920.45472257791,248.910612409303,162.657467765949,3332.02280275316
"Sheep or lamb skin leather, otherwise pre-tanned","Sheepskin leather,tanned",3633.52851557164,212.398369308043,28.2763331279131,3874.2032180076,2920.45472257791,248.910612409303,162.657467765949,3332.02280275316
"Sheep or lamb skin leather, tanned or retanned, nes","Sheepskin leather,tanned",3633.52851557164,212.398369308043,28.2763331279131,3874.2032180076,2920.45472257791,248.910612409303,162.657467765949,3332.02280275316
"Sheep or lamb skin leather, nes","Sheepskin leather,preprd",3633.52851557164,212.398369308043,28.2763331279131,3874.2032180076,2920.45472257791,248.910612409303,162.657467765949,3332.02280275316
"Swine leather, nes","Leather of swine",15278.3695409864,1386.56794470708,1936.24724360013,18601.1847292936,14198.4026407819,787.008687426356,2405.89063441248,17391.3019626207
