"id","name","name_en","name_wf","description","world_green","world_blue","world_grey","world_total","country_green","country_blue","country_grey","country_total","type"
107,"Papryka zielona","Green peppers","Peppers of the genus Capsicum or of the genus Pimenta,fresh or chilled","Chillies and peppers, green",239.749501795431,42.2406417511502,97.2228565834034,379.213000129985,NA,NA,NA,NA,"crops"
108,"Parówki","Sausages",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"Pietruszka, korzen","Parsley root",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"Pietruszka, liscie","Parsley leaves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"Platki kukurydziane","Flaked corn","Maize (corn), hulled, pearled, sliced or kibbled","Maize",1018.49069681579,87.3402103211192,208.527870620809,1314.35877775772,668.305178826489,13.2599694782653,417.326514479335,1098.89166278409,"crops"
112,"Platki owsiane","Oat flakes","Oats, rolled or flaked grains","Oats",1998.45486496037,244.673957024501,173.130002360619,2416.25882434549,1614.0955523651,2.27785226463307,NA,1616.37340462973,"crops"
113,"Pomarancza","Orange","Oranges, fresh or dried","Oranges",400.915883899666,109.521341834049,49.2575210919027,559.694746825618,NA,NA,NA,NA,"crops"
114,"Pomidor","Tomato","Tomatoes, fresh or chilled","Tomatoes",107.87460656845,63.2483213188794,42.6743433559166,213.797271243246,151.750901910261,5.73474650014613,NA,157.485648410407,"crops"
115,"Por","Leek","Onions and shallots, fresh or chilled","Onions (inc. shallots), green",176.389330786108,44.4998257033403,51.0473825505614,271.93653904001,NA,NA,NA,NA,"crops"
116,"Porzeczki","Currants","Currants","Currants",457.072159075035,19.1954412434378,22.6879433606613,498.955543679134,471.889801262498,2.84198293303066,NA,474.731784195529,"crops"
117,"Pstrag","Trout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"Ryz bialy","White rice","Rice in the husk (paddy or rough)","Rice, paddy",1145.51821651437,340.779940506365,186.502889111544,1672.80104613228,NA,NA,NA,NA,"crops"
119,"Ryz brazowy","Brown rice","Rice, husked (brown)","Rice, paddy",1487.6859954732,442.571351306967,242.211544300707,2172.46889108087,NA,NA,NA,NA,"crops"
120,"Rzodkiewka","Radish","Salad beetroot,salsif,celeriac,radish&sim edibl roots,fresh/chilld nes","Yams",348.097698652125,15.282787011652,21.8907258787832,385.27121154256,NA,NA,NA,NA,"crops"
121,"Salata","Lettuce","Lettuce, fresh or chilled nes","Lettuce and chicory",132.539475340369,27.8086336904972,76.6059746509796,236.954083681846,218.945827005407,0.925319953033665,NA,219.871146958441,"crops"
122,"Seler korzeniowy","Celery root","Celery, other than celeriac, fresh or chilled","Carrots and turnips",105.730591583269,28.1633298999666,61.1717776775329,195.065699160769,50.6995766534371,0.0221434428541862,NA,50.7217200962913,"crops"
123,"Seler naciowy","Celery leaves","Celery, other than celeriac, fresh or chilled","Carrots and turnips",105.730591583269,28.1633298999666,61.1717776775329,195.065699160769,50.6995766534371,0.0221434428541862,NA,50.7217200962913,"crops"
124,"Ser plesniowy","Blue cheese","Cheese, blue-veined","Blue-veined cheese",4264.41046200854,438.660008395035,357.275288744589,5060.34575914816,3721.70742917058,175.68579396822,480.708170849109,4378.10139398791,"animals"
125,"Ser twarogowy","Cottage cheese","Cheese, fresh (including whey cheese) unfermented, and curd","Fresh cheese,unfermented",2686.57859106538,266.355805288872,225.083431909091,3178.01782826334,2344.67568037747,100.682050199979,302.846147634939,2748.20387821239,"animals"
126,"Ser zólty","Yellow cheese","Cheese nes","Other cheese, curd",4264.41046200854,438.660008395035,357.275288744589,5060.34575914816,3721.70742917058,175.68579396822,480.708170849109,4378.10139398791,"animals"
127,"Serek twarogowy homogenizowany","Homogenized cream cheese","Cheese nes","Other cheese, curd",4264.41046200854,438.660008395035,357.275288744589,5060.34575914816,3721.70742917058,175.68579396822,480.708170849109,4378.10139398791,"animals"
128,"Soczewica czerwona","Red Lentils","Lentils dried, shelled, whether or not skinned or split","Lentils",4324.33203550365,489.379450121911,1059.93252766118,5873.64401328674,NA,NA,NA,NA,"crops"
129,"Sos keczup","Ketchup sauce","Tomato ketchup","Tomatoes",269.686516421126,158.120803297199,106.685858389791,534.493178108116,379.377254775652,14.3368662503653,NA,393.714121026017,"crops"
130,"Sól","Salt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,"Szczypiorek","Chives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"Szparagi, konserwowe","Asparagus, canned","Asparagus, fresh or chilled","Asparagus",1523.99909341865,118.759506461507,506.931078884009,2149.68967876417,430.489972531211,4.54488348456776,NA,435.034856015779,"crops"
133,"Szpinak","Spinach","Spinach,N-Z spinach & orache spinach (garden spinach),fresh or chilled","Spinach",118.285643501406,13.6583677247352,159.96661692666,291.910628152801,NA,NA,NA,NA,"crops"
134,"Szynka wieprzowa","Pork ham","Hams and cuts thereof of swine prepared or preserved","Pork,prepred,presrvd,nes",5286.65515769591,500.222695738885,669.984545765359,6456.86239920015,4892.19547376176,291.752296118953,828.972636557823,6012.92040643854,"animals"
135,"Szynka z indyka","Turkey ham","Turkey meat and meat offal prepared or preserved, excluding livers","Poultry,prprd,prsrvd,nes",3545.39494981384,313.340547896255,466.549596791946,4325.28509450204,3362.33084485878,72.0239897059774,460.053534534244,3894.408369099,"animals"
136,"Szynka z kurczaka","Chicken ham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,"Sliwki","Prunes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"Smietana, 12% tluszczu","Cream, 12% fat","Buttermilk,curdled milk & cream,kephir & ferm or acid milk & cream nes","Buttermilk",1351.89292369011,134.030893252601,113.262533934329,1599.18635087704,1179.8465420636,50.6634541273508,152.392922848435,1382.90291903939,"animals"
139,"Smietana, 18% tluszczu","Cream, 18% fat","Buttermilk,curdled milk & cream,kephir & ferm or acid milk & cream nes","Buttermilk",1351.89292369011,134.030893252601,113.262533934329,1599.18635087704,1179.8465420636,50.6634541273508,152.392922848435,1382.90291903939,"animals"
140,"Smietanka kremowa 30% tluszczu","Cream 30% fat","Buttermilk,curdled milk & cream,kephir & ferm or acid milk & cream nes","Buttermilk",1351.89292369011,134.030893252601,113.262533934329,1599.18635087704,1179.8465420636,50.6634541273508,152.392922848435,1382.90291903939,"animals"
141,"Tunczyk","Tuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
