Group Ordering,Lead Author,Year Published,Food Item,GHG (g CO2 equiv/g protein),LU (m^2/g protein),EU (kj/g protein),Acidification Potential (g SO2 equiv/g protein),Eutrophication Potential (g PO4 equiv/g protein),GHG (g CO2 equiv/serving),LU (m^2/serving),EU (kj/serving),Acidification Potential (g SO2 equiv/serving),Eutrophication Potential (g PO4 equiv/serving),GHG (g CO2 equiv/gram),LU (m^2/kg),EU (kj/gram),Acidification Potential (g SO2 equiv/gram),Eutrophication Potential (g PO4 equiv/gram)
Non-Trawling Fishery,Ramos,2011,mackerel,1.14E+01,,,,2.78E-02,6.38E+01,,,,8.00E-05,2.28E+00,,,,2.86E-06
Trawl Fishery,Ramos,2011,mackerel,3.24E+01,,,,7.08E-02,1.82E+02,,,,2.00E-04,6.51E+00,,,,7.14E-06
Non-Trawling Fishery,Schau,2009,mackerel,4.08E+00,,,,,2.30E+01,,,,,8.20E-01,,,,
Non-Trawling Fishery,Schau,2009,pollock,1.25E+01,,,,,6.83E+01,,,,,2.44E+00,,,,
Non-Trawling Fishery,Schau,2009,pollock,1.79E+01,,,,,9.71E+01,,,,,3.47E+00,,,,
Trawl Fishery,Tyedmers,2001,pollock,2.09E+01,,,,,1.14E+02,,,,,4.07E+00,,,,
Non-Trawling Fishery,Schau,2009,snapper,2.30E+01,,,,,1.32E+02,,,,,4.72E+00,,,,
Non-Trawling Fishery,Schau,2009,snapper,2.98E+01,,,,,1.71E+02,,,,,6.12E+00,,,,
Trawl Fishery,Tyedmers,2001,snapper,2.30E+01,,,,,1.32E+02,,,,,4.72E+00,,,,
Trawl Fishery,Tyedmers,2001,snapper,2.57E+01,,,,,1.47E+02,,,,,5.27E+00,,,,
Trawl Fishery,Tyedmers,2001,snapper,2.75E+01,,,,,1.58E+02,,,,,5.64E+00,,,,
Non-Trawling Fishery,Iribarren,2010,swordfish,7.37E+01,,,,,4.06E+02,,,,,1.45E+01,,,,
Non-Trawling Fishery,Hospido,2005,tuna,2.08E+01,,,,4.42E-02,1.28E+02,,,,3.00E-04,4.57E+00,,,,1.07E-05
Non-Trawling Fishery,Hospido,2005,tuna,2.21E+01,,,,4.68E-02,1.36E+02,,,,3.00E-04,4.86E+00,,,,1.07E-05
Non-Trawling Fishery,Hospido,2005,tuna,2.86E+01,,,,5.84E-02,1.76E+02,,,,4.00E-04,6.29E+00,,,,1.43E-05
Non-Trawling Fishery,Iribarren,2010,tuna,1.57E+01,,,,,9.68E+01,,,,,3.46E+00,,,,
Non-Trawling Fishery,Iribarren,2010,tuna,1.83E+01,,,,,1.13E+02,,,,,4.03E+00,,,,
Non-Trawling Fishery,Iribarren,2010,tuna,2.21E+01,,,,,1.36E+02,,,,,4.86E+00,,,,
Non-Trawling Fishery,Iribarren,2010,tuna,1.73E+02,,,,,1.06E+03,,,,,3.80E+01,,,,
Recirculating Aquaculture,Aubin,2009,turbot,1.25E+02,,,,1.60E+00,5.62E+02,,,,1.00E-02,2.01E+01,,,,3.57E-04
Non-Trawling Fishery,Schau,2009,turbot,2.05E+01,,,,,9.22E+01,,,,,3.29E+00,,,,
Non-Trawling Fishery,Schau,2009,turbot,2.19E+01,,,,,9.82E+01,,,,,3.51E+00,,,,
Non-Trawling Fishery,Schau,2009,turbot,2.32E+01,,,,,1.04E+02,,,,,3.72E+00,,,,
Non-Trawling Fishery,Schau,2009,turbot,1.38E+02,,,,,6.19E+02,,,,,2.21E+01,,,,
Pork,Basset-Mens,2005,Pork,3.19E+01,7.54E-02,2.21E+02,6.04E-01,2.89E-01,1.69E+02,4.00E-01,1.17E+03,3.20E+00,1.53E+00,6.05E+00,1.43E-02,4.18E+01,1.14E-01,5.47E-02
Pork,Basset-Mens,2005,Pork,4.80E+01,8.72E-02,2.48E+02,3.61E-01,2.30E-01,2.55E+02,4.63E-01,1.32E+03,1.91E+00,1.22E+00,9.10E+00,1.65E-02,4.71E+01,6.84E-02,4.37E-02
Pork,Basset-Mens,2005,Pork,5.51E+01,1.37E-01,3.08E+02,5.16E-01,3.00E-01,2.92E+02,7.27E-01,1.64E+03,2.74E+00,1.59E+00,1.04E+01,2.60E-02,5.84E+01,9.79E-02,5.68E-02
Pork,Blonk,2009,Pork,1.85E+01,,,,,9.80E+01,,,,,3.50E+00,,,,
Pork,Blonk,2009,Pork,1.85E+01,,,,,9.80E+01,,,,,3.50E+00,,,,
Pork,Blonk,2009,Pork,1.90E+01,,,,,1.01E+02,,,,,3.60E+00,,,,
Pork,Blonk,2009,Pork,1.95E+01,,,,,1.04E+02,,,,,3.70E+00,,,,
Pork,Blonk,2009,Pork,2.11E+01,,,,,1.12E+02,,,,,4.00E+00,,,,
Pork,Blonk,2009,Pork,2.27E+01,,,,,1.20E+02,,,,,4.30E+00,,,,
Pork,Blonk,2009,Pork,2.32E+01,,,,,1.23E+02,,,,,4.40E+00,,,,
Pork,Blonk,2009,Pork,2.64E+01,,,,,1.40E+02,,,,,5.00E+00,,,,
Pork,Cederberg,2009,Pork,3.40E+01,,,,,1.80E+02,,,,,6.44E+00,,,,
Pork,Cederberg,2009,Pork,4.00E+01,,,,,2.12E+02,,,,,7.58E+00,,,,
Pork,Cherubini,2015,Pork,3.11E+01,,2.00E+02,8.23E-01,,1.65E+02,,1.06E+03,4.37E+00,,5.90E+00,,3.79E+01,1.56E-01,
Pork,Cherubini,2015,Pork,3.39E+01,,2.15E+02,8.24E-01,,1.80E+02,,1.14E+03,4.37E+00,,6.42E+00,,4.07E+01,1.56E-01,
Pork,Cherubini,2015,Pork,3.50E+01,,2.15E+02,7.61E-01,,1.86E+02,,1.14E+03,4.04E+00,,6.63E+00,,4.08E+01,1.44E-01,
Pork,Cherubini,2015,Pork,3.55E+01,,2.26E+02,8.27E-01,,1.88E+02,,1.20E+03,4.39E+00,,6.73E+00,,4.28E+01,1.57E-01,
Pork,Devers,2011,Pork,2.46E+01,,2.11E+02,5.19E-01,3.32E-01,1.31E+02,,1.12E+03,2.75E+00,1.76E+00,4.66E+00,,3.99E+01,9.83E-02,6.29E-02
Pork,Devers,2011,Pork,3.77E+01,,1.68E+02,3.88E-01,2.20E-01,2.00E+02,,8.94E+02,2.06E+00,1.17E+00,7.15E+00,,3.19E+01,7.35E-02,4.16E-02
Pork,Eriksson,2005,Pork,2.10E+01,8.76E-02,9.70E+01,3.37E-01,1.65E-01,1.11E+02,4.65E-01,5.15E+02,1.79E+00,8.75E-01,3.97E+00,1.66E-02,1.84E+01,6.39E-02,3.13E-02
Pork,Eriksson,2005,Pork,1.89E+01,1.09E-01,7.75E+01,3.53E-01,1.71E-01,1.00E+02,5.76E-01,4.11E+02,1.87E+00,9.07E-01,3.58E+00,2.06E-02,1.47E+01,6.68E-02,3.24E-02
Pork,Eriksson,2005,Pork,1.93E+01,8.90E-02,8.70E+01,2.71E-01,1.37E-01,1.02E+02,4.72E-01,4.62E+02,1.44E+00,7.29E-01,3.66E+00,1.69E-02,1.65E+01,5.13E-02,2.60E-02
Pork,Halberg,2010,Pork,3.93E+01,1.18E-01,,7.07E-01,3.56E-01,2.08E+02,6.26E-01,,3.75E+00,1.89E+00,7.44E+00,2.24E-02,,1.34E-01,6.75E-02
Pork,Halberg,2010,Pork,4.05E+01,9.58E-02,,7.95E-01,3.55E-01,2.15E+02,5.08E-01,,4.22E+00,1.88E+00,7.68E+00,1.82E-02,,1.51E-01,6.72E-02
Pork,Halberg,2010,Pork,4.61E+01,1.28E-01,,8.52E-01,5.02E-01,2.45E+02,6.78E-01,,4.52E+00,2.67E+00,8.73E+00,2.42E-02,,1.62E-01,9.52E-02
Pork,Nguyen,2010,Pork,4.80E+01,8.30E-02,1.96E+02,,1.06E-01,2.55E+02,4.40E-01,1.04E+03,,5.64E-01,9.09E+00,1.57E-02,3.71E+01,,2.02E-02
Pork,Ogino,2013,Pork,3.69E+01,,3.21E+02,2.57E+00,1.08E-01,2.19E+02,,1.91E+03,1.52E+01,6.42E-01,7.81E+00,,6.81E+01,5.45E-01,2.29E-02
Pork,Ogino,2013,Pork,3.71E+01,,3.24E+02,2.57E+00,8.19E-02,2.20E+02,,1.92E+03,1.52E+01,4.86E-01,7.87E+00,,6.87E+01,5.45E-01,1.74E-02
Pork,Ogino,2013,Pork,3.75E+01,,3.29E+02,2.57E+00,5.81E-02,2.22E+02,,1.95E+03,1.52E+01,3.45E-01,7.94E+00,,6.97E+01,5.45E-01,1.23E-02
Pork,Ogino,2013,Pork,3.92E+01,,3.16E+02,2.69E+00,1.13E-01,2.33E+02,,1.88E+03,1.60E+01,6.70E-01,8.31E+00,,6.71E+01,5.71E-01,2.39E-02
Pork,Ogino,2013,Pork,4.01E+01,,3.26E+02,2.69E+00,6.07E-02,2.38E+02,,1.94E+03,1.60E+01,3.60E-01,8.50E+00,,6.92E+01,5.71E-01,1.29E-02
Pork,Pelletier,2010,Pork,3.43E+01,1.97E-01,1.35E+02,,2.21E-01,1.82E+02,1.05E+00,7.14E+02,,1.17E+00,6.50E+00,3.74E-02,2.55E+01,,4.18E-02
Pork,Pelletier,2010,Pork,3.50E+01,2.62E-01,1.58E+02,,4.47E-01,1.86E+02,1.39E+00,8.40E+02,,2.37E+00,6.63E+00,4.97E-02,3.00E+01,,8.47E-02
Pork,Pelletier,2010,Pork,4.23E+01,2.40E-01,1.65E+02,,2.89E-01,2.25E+02,1.27E+00,8.76E+02,,1.53E+00,8.02E+00,4.55E-02,3.13E+01,,5.47E-02
Pork,Pelletier,2010,Pork,4.62E+01,3.41E-01,2.00E+02,,6.37E-01,2.45E+02,1.81E+00,1.06E+03,,3.38E+00,8.76E+00,6.47E-02,3.79E+01,,1.21E-01
Pork,Reckmann,2013,Pork,2.41E+01,,1.36E+02,4.54E-01,1.71E-01,1.28E+02,,7.21E+02,2.41E+00,9.08E-01,4.56E+00,,2.58E+01,8.61E-02,3.24E-02
Pork,Williams,2006,Pork,5.64E+01,1.28E-01,1.45E+02,1.29E+00,5.70E-01,2.99E+02,6.79E-01,7.69E+02,6.84E+00,3.02E+00,1.07E+01,2.42E-02,2.75E+01,2.44E-01,1.08E-01
Pork,Williams,2006,Pork,6.08E+01,6.90E-02,1.55E+02,3.91E+00,9.69E-01,3.22E+02,3.66E-01,8.22E+02,2.07E+01,5.14E+00,1.15E+01,1.31E-02,2.94E+01,7.41E-01,1.84E-01
Pork,Williams,2006,Pork,6.33E+01,7.50E-02,1.67E+02,3.62E+00,9.49E-01,3.36E+02,3.98E-01,8.86E+02,1.92E+01,5.04E+00,1.20E+01,1.42E-02,3.16E+01,6.86E-01,1.80E-01
Pork,Williams,2006,Pork,6.36E+01,7.40E-02,1.67E+02,3.95E+00,9.99E-01,3.37E+02,3.92E-01,8.86E+02,2.09E+01,5.30E+00,1.20E+01,1.40E-02,3.16E+01,7.48E-01,1.89E-01
